record_id,parcel_number,tax_period,principal,interest,penalty,other,total,lien_number
2731785002007,273178500,2007,15.20,11.28,1.06,4.96,32.50,
4310388002014,431038800,2014,958.50,107.83,67.10,159.91,1293.34,1505R14041954
8843440852006,884344085,2006,304.12,253.18,21.29,127.75,706.34,1512R06741685
4063105002015,406310500,2015,927.68,20.88,18.55,149.93,1117.04,1603R15069119
2813117002007,281311700,2007,218.96,162.58,15.33,95.04,491.91,1512R07715148
5111084002008,511108400,2008,626.47,408.77,43.85,217.84,1296.93,1512R08704029
3912983002013,391298300,2013,143.83,29.13,10.07,56.55,239.58,1512R13551022
4913236002016,491323600,2016,0.01,0.00,0.00,0.00,0.01,
3810301002004,381030100,2004,334.52,338.70,23.42,149.00,845.64,1512R04768451
3430150002014,343015000,2014,1194.28,134.36,83.60,356.51,1768.75,1505R14031310
2513472002015,251347200,2015,1319.10,29.68,26.38,174.41,1549.57,1603R15052477
2431786002015,243178600,2015,61.64,1.38,1.23,3.86,68.11,
5910296002009,591029600,2009,182.47,102.64,12.77,39.07,336.95,1512R09684171
4311605002008,431160500,2008,416.63,271.85,29.16,64.26,781.90,1512R08701300
2811218002004,281121800,2004,206.79,209.37,14.48,101.12,531.76,1512R04765288
0711945002016,071194500,2016,107.78,0.00,0.00,0.00,107.78,
2821172002003,282117200,2003,222.01,244.77,15.54,50.14,532.46,1512R03782554
4422132001997,442213200,1997,40.58,66.65,2.84,32.84,142.91,1512R97855571
0340316002002,034031600,2002,541.33,645.54,37.89,94.69,1319.45,1512R02787709
3232109002016,323210900,2016,74.09,0.00,0.00,0.00,74.09,
1811697002012,181169700,2012,759.09,444.60,111.77,150.37,1465.83,1512R12577647
2220402002016,222040200,2016,0.01,0.00,0.00,0.00,0.01,
4811308002016,481130800,2016,2071.70,0.00,0.00,0.00,2071.70,
5142334002011,514233400,2011,136.15,52.08,9.53,59.20,256.96,1512R11631028
2813901002005,281390100,2005,121.65,112.22,8.52,67.23,309.62,1512R05749346
8715522102016,871552210,2016,1245.82,0.00,0.00,0.00,1245.82,
3241370001992,324137000,1992,21.29,41.36,1.49,35.15,99.29,LV00062160
1623415002016,162341500,2016,258.96,0.00,0.00,0.00,258.96,
2522421001996,252242100,1996,535.24,911.25,37.47,290.71,1774.67,1512R96860118
1220477052013,122047705,2013,143.83,29.13,10.07,56.55,239.58,1512R13532637
4621380002016,462138000,2016,1520.18,0.00,0.00,0.00,1520.18,
1832175001981,183217500,1981,54.35,141.44,3.80,10.00,209.59,R810014712
5013013002008,501301300,2008,15.20,9.91,1.06,4.71,30.88,
4912214002010,491221400,2010,30.41,14.37,2.13,32.04,78.95,RL00909422
1612651002010,161265100,2010,0.00,0.00,0.00,0.34,0.34,RL00855164
0712510002004,071251000,2004,252.41,255.56,17.67,118.22,643.86,1512R04764637
3810263001983,381026300,1983,206.29,487.07,28.88,333.90,1056.14,AB00096534
1320258002009,132025800,2009,696.43,391.74,48.75,228.25,1365.17,1512R09667853
8880395682015,888039568,2015,3467.25,78.01,69.35,308.78,3923.39,1603R15091248
1612372002015,161237200,2015,33.90,0.76,0.68,2.12,37.46,
0713385002016,071338500,2016,300.96,0.00,0.00,0.00,300.96,
2821154002016,282115400,2016,302.36,0.00,0.00,0.00,302.36,
6220741002016,622074100,2016,887.47,0.00,0.00,0.00,887.47,
2912488002005,291248800,2005,30.41,28.06,2.13,34.51,95.11,RL00262927
3020857002016,302085700,2016,0.01,0.00,0.00,0.00,0.01,
2821092002011,282109200,2011,254.00,97.16,17.78,90.01,458.95,1512R11616990
2911017001988,291101700,1988,275.08,600.37,19.26,10.00,904.71,1512R88938889
0433092002002,043309200,2002,659.93,786.97,46.20,292.36,1785.46,1512R02800537
3510817002006,351081700,2006,228.08,189.88,15.97,47.24,481.17,BC00047254
4052588002015,405258800,2015,2263.73,50.94,45.27,233.50,2593.44,1603R15068834
3644499001992,364449900,1992,212.88,413.52,14.90,139.03,780.33,1512R92945015
2140536002016,214053600,2016,3614.28,0.00,0.00,0.00,3614.28,
0340826002002,034082600,2002,608.24,725.32,42.58,271.31,1647.45,1512R02797606
5930882002016,593088200,2016,3008.17,0.00,0.00,0.00,3008.17,
2811425002004,281142500,2004,15.20,15.39,1.06,5.70,37.35,
1110177002013,111017700,2013,35.96,7.28,2.52,31.84,77.60,RL01295381
1311913002016,131191300,2016,0.01,0.00,0.00,0.00,0.01,
8829376902016,882937690,2016,1469.79,0.00,0.00,0.00,1469.79,
3110537002016,311053700,2016,99.39,0.00,0.00,0.00,99.39,
1323034001998,132303400,1998,352.77,547.68,24.69,190.13,1115.27,1512R98842165
4420527002015,442052700,2015,551.68,12.42,11.03,126.41,701.54,1603R15073201
0331595002016,033159500,2016,559.92,0.00,0.00,0.00,559.92,
4931020002016,493102000,2016,842.68,0.00,0.00,0.00,842.68,
3313621002012,331362100,2012,149.25,43.66,10.45,60.20,263.56,1511R12516762
4621133002013,462113300,2013,1165.02,235.92,81.55,110.15,1592.64,1512R13556748
6031257002015,603125700,2015,1174.24,26.42,23.48,165.35,1389.49,1603R15083463
2520780002005,252078000,2005,182.47,168.33,12.77,89.04,452.61,1512R05748552
6041899002015,604189900,2015,1124.93,25.31,22.50,162.27,1335.01,1603R15083842
1240289002016,124028900,2016,986.86,0.00,0.00,0.00,986.86,
0322368002016,032236800,2016,257.56,0.00,0.00,0.00,257.56,
5922102002013,592210200,2013,-971.97,0.00,0.00,0.00,-971.97,
3710927001990,371092700,1990,28.94,59.68,2.03,28.12,118.77,LV00053837
1911756002010,191175600,2010,33.45,15.80,2.34,32.89,84.48,RL00860484
6042509012002,604250901,2002,260.78,312.17,18.32,256.08,847.35,1512R02800432
5615172002015,561517200,2015,0.00,-137.19,0.00,-48.34,-185.53,
4812798002016,481279800,2016,0.01,0.00,0.00,0.00,0.01,
4032462001978,403246200,1978,34.12,94.94,2.39,6.50,137.95,R780044820
2432111002016,243211100,2016,793.69,0.00,0.00,0.00,793.69,
3222694002004,322269400,2004,30.41,30.79,2.13,35.00,98.33,RL00161044
0422750001993,042275000,1993,456.17,858.74,31.93,266.03,1612.87,1512R93968275
2912537002008,291253700,2008,343.65,224.23,24.06,56.72,648.66,1512R08696121
4123478002016,412347800,2016,0.01,0.00,0.00,0.00,0.01,
4114718002012,411471800,2012,1384.92,405.09,96.94,363.25,2250.20,1512R12592116
3221841002008,322184100,2008,222.01,144.87,15.54,92.44,474.86,1512R08696927
3240286002002,324028600,2002,33.82,40.33,2.37,31.09,107.61,L020056967
4321292001990,432129200,1990,173.66,358.18,12.16,109.72,653.72,1512R90955003
4630748001998,463074800,1998,91.23,141.63,6.39,35.56,274.81,1512R98846183
4522244002014,452224400,2014,462.09,51.99,32.35,124.69,671.12,RL01545245
1621261002010,162126100,2010,24.33,11.49,1.70,30.35,67.87,RL00855956
2620003002012,262000300,2012,1638.30,479.21,114.68,155.13,2387.32,1512R12581293
1913037002000,191303700,2000,30.41,41.74,2.13,36.97,111.25,L000087684
3220422002014,322042200,2014,0.00,0.00,0.00,72.60,72.60,1505R14027613
1610859001996,161085900,1996,112.53,191.58,7.88,79.76,391.75,1512R96864176
3722980002001,372298000,2001,85.16,109.22,5.96,59.66,260.00,1512R01809919
5920704002013,592070400,2013,0.00,27.83,10.82,17.50,56.15,1512R13562155
3644361002015,364436100,2015,114.03,2.57,2.28,99.03,217.91,1603R15063331
1313338002013,131333800,2013,0.00,0.00,0.00,0.01,0.01,1512R13533865
0320575002007,032057500,2007,203.76,151.29,14.26,90.08,459.39,1512R07707328
4920415002005,492041500,2005,0.00,385.27,36.69,98.91,520.87,1512R05755657
4523706002016,452370600,2016,5252.05,0.00,0.00,0.00,5252.05,
4321307002014,432130700,2014,790.53,88.94,55.34,147.99,1082.80,1505R14042507
3233398102016,323339810,2016,1372.72,0.00,0.00,0.00,1372.72,
3421888002013,342188800,2013,816.24,165.29,57.14,210.56,1249.23,1512R13546993
5424135002016,542413500,2016,-45.47,0.00,0.00,0.00,-45.47,
4913904001995,491390400,1995,155.09,273.35,10.86,102.67,541.97,1512R95960225
1122256002015,112225600,2015,1462.41,32.91,29.25,183.38,1707.95,1603R15040795
3222247002014,322224700,2014,208.04,23.40,14.56,146.59,392.59,1505R14028040
7763649952006,776364995,2006,212.88,177.23,14.90,45.50,450.51,1512R06734596
4333278002013,433327800,2013,605.84,139.89,47.82,166.43,959.98,1512R13554837
3141492002012,314149200,2012,0.00,66.01,29.40,40.77,136.18,1512R12584607
5211568002007,521156800,2007,1359.39,1009.35,95.16,467.10,2931.00,1512R07724169
3140231001997,314023100,1997,30.41,49.95,2.13,38.45,120.94,L970017460
0820794002016,082079400,2016,0.01,0.00,0.00,0.00,0.01,
